h,k,l,phase_deg
-5,-1,1,-169.187391
-5,1,-1,19.021420
-5,1,0,-12.862873
-5,2,0,122.789694
-4,-3,0,110.497624
-4,-2,0,-29.217421
-4,-2,1,-91.166586
-4,-1,0,-75.347920
-4,-1,1,42.441110
-4,0,0,152.868187
-4,0,1,170.410770
-4,1,-1,-143.536053
-4,1,0,148.602521
-4,1,1,-72.730482
-4,2,0,-19.125466
-4,4,0,-146.458595
-3,-4,1,-138.766620
-3,-3,-1,137.874412
-3,-2,0,177.620276
-3,-2,1,89.686143
-3,-1,0,67.065488
-3,-1,1,-91.564098
-3,0,-2,35.292809
-3,0,0,2.359579
-3,0,1,-27.431636
-3,1,0,-50.673368
-3,1,1,146.396269
-3,2,0,172.747634
-3,3,1,0.952856
-3,4,0,42.446593
-2,-4,-1,147.584389
-2,-3,-1,-28.185097
-2,-3,0,-72.547618
-2,-3,2,-106.746647
-2,-2,0,65.990079
-2,-2,1,-93.560886
-2,-1,-1,-169.165244
-2,-1,0,-159.213748
-2,-1,1,113.149957
-2,0,-2,-136.173982
-2,0,0,-33.644819
-2,0,1,145.657929
-2,1,-1,14.868197
-2,1,0,115.946625
-2,1,1,-16.136487
-2,1,2,-56.649884
-2,2,-2,94.392242
-2,2,0,-31.467380
-2,2,2,94.525592
-2,3,-1,-125.288560
-2,3,1,-165.515957
-2,4,0,-130.700004
-1,-4,0,112.643418
-1,-3,-1,161.743207
-1,-3,0,108.645120
-1,-2,0,-61.397243
-1,-2,1,69.760309
-1,-2,2,-63.758691
-1,-1,-1,20.080828
-1,-1,0,3.097046
-1,-1,1,-65.877480
-1,-1,2,-109.499980
-1,0,-1,-89.203514
-1,0,0,170.602787
-1,1,-1,-155.432978
-1,1,0,-48.718978
-1,1,1,-177.850170
-1,1,2,112.167753
-1,2,0,51.799346
-1,2,1,46.353085
-1,2,2,-52.704195
-1,3,-1,63.210900
-1,3,1,30.631673
-1,4,-1,-112.052812
0,-4,0,-56.639196
0,-4,1,-72.152762
0,-3,0,-70.361438
0,-3,1,106.616773
0,-2,-2,-136.463102
0,-2,-1,147.562895
0,-2,0,132.086221
0,-1,-2,81.027397
0,-1,-1,-115.973717
0,-1,0,-170.115081
0,-1,1,-23.132960
0,1,-1,23.132960
0,1,0,170.115081
0,1,1,115.973717
0,1,2,-81.027397
0,2,0,-132.086221
0,2,1,-147.562895
0,2,2,136.463102
0,3,-1,-106.616773
0,3,0,70.361438
0,4,-1,72.152762
0,4,0,56.639196
1,-4,1,112.052812
1,-3,-1,-30.631673
1,-3,1,-63.210900
1,-2,-2,52.704195
1,-2,-1,-46.353085
1,-2,0,-51.799346
1,-1,-2,-112.167753
1,-1,-1,177.850170
1,-1,0,48.718978
1,-1,1,155.432978
1,0,0,-170.602787
1,0,1,89.203514
1,1,-2,109.499980
1,1,-1,65.877480
1,1,0,-3.097046
1,1,1,-20.080828
1,2,-2,63.758691
1,2,-1,-69.760309
1,2,0,61.397243
1,3,0,-108.645120
1,3,1,-161.743207
1,4,0,-112.643418
2,-4,0,130.700004
2,-3,-1,165.515957
2,-3,1,125.288560
2,-2,-2,-94.525592
2,-2,0,31.467380
2,-2,2,-94.392242
2,-1,-2,56.649884
2,-1,-1,16.136487
2,-1,0,-115.946625
2,-1,1,-14.868197
2,0,-1,-145.657929
2,0,0,33.644819
2,0,2,136.173982
2,1,-1,-113.149957
2,1,0,159.213748
2,1,1,169.165244
2,2,-1,93.560886
2,2,0,-65.990079
2,3,-2,106.746647
2,3,0,72.547618
2,3,1,28.185097
2,4,1,-147.584389
3,-4,0,-42.446593
3,-3,-1,-0.952856
3,-2,0,-172.747634
3,-1,-1,-146.396269
3,-1,0,50.673368
3,0,-1,27.431636
3,0,0,-2.359579
3,0,2,-35.292809
3,1,-1,91.564098
3,1,0,-67.065488
3,2,-1,-89.686143
3,2,0,-177.620276
3,3,1,-137.874412
3,4,-1,138.766620
4,-4,0,146.458595
4,-2,0,19.125466
4,-1,-1,72.730482
4,-1,0,-148.602521
4,-1,1,143.536053
4,0,-1,-170.410770
4,0,0,-152.868187
4,1,-1,-42.441110
4,1,0,75.347920
4,2,-1,91.166586
4,2,0,29.217421
4,3,0,-110.497624
5,-2,0,-122.789694
5,-1,0,12.862873
5,-1,1,-19.021420
5,1,-1,169.187391
